Region,TV_Budget,Radio_Budget,SocialMedia_Budget,Is_Holiday,Sales
EU,35.15,43.52,217.84,0,563.37
EU,21.54,20.2,242.43,1,465.87
NA,224.0,62.05,140.17,0,1057.35
NA,149.86,67.78,10.46,0,810.37
NA,260.6,77.97,87.89,1,1262.22
NA,296.71,90.46,146.93,0,1362.19
NA,271.28,35.17,50.11,0,1120.97
NA,165.47,79.89,108.52,0,904.55
NA,260.37,31.28,58.42,0,1077.37
EU,193.57,146.54,56.89,0,1087.41
NA,174.15,94.62,144.2,0,997.69
EU,178.32,25.52,159.61,0,626.21
NA,289.21,81.89,43.06,0,1344.92
EU,191.97,139.58,150.95,0,1171.93
NA,157.73,92.09,127.93,0,926.12
EU,34.56,122.76,207.29,0,912.68
EU,77.3,127.94,69.82,1,848.43
EU,142.66,143.88,97.33,0,1031.26
EU,94.15,102.73,69.07,0,761.48
EU,113.64,120.71,56.91,0,834.65
EU,146.42,149.37,247.69,0,1269.39
EU,58.44,85.75,131.61,1,692.79
EU,31.19,78.0,163.91,1,680.64
EU,26.71,89.81,59.82,1,592.96
EU,55.86,140.68,87.95,0,898.57
EU,167.64,140.01,174.03,0,1165.9
NA,221.0,24.23,27.22,0,900.02
EU,96.44,25.3,207.6,0,531.31
EU,109.49,53.93,166.92,1,661.6
EU,77.15,63.89,132.83,1,634.48
EU,56.21,52.16,52.69,0,421.24
EU,132.32,58.32,240.92,0,807.7
EU,104.44,65.24,85.6,1,623.75
EU,60.26,95.15,161.57,1,796.51
EU,86.52,35.04,176.85,0,527.84
NA,269.86,44.4,105.12,1,1178.94
NA,187.12,87.3,135.22,0,1021.25
NA,62.61,99.34,53.78,0,614.65
EU,89.81,42.28,195.85,1,621.65
NA,199.28,37.2,118.67,0,864.17
NA,201.7,91.59,60.35,0,1084.95
EU,156.19,122.92,185.27,0,1095.53
EU,26.28,27.59,74.62,0,293.74
EU,171.75,54.32,210.9,1,830.02
NA,248.51,56.36,72.58,0,1093.52
NA,277.71,52.97,71.31,0,1211.54
NA,229.35,73.96,91.91,0,1128.41
NA,239.56,90.2,73.49,0,1228.93
EU,82.64,109.0,135.53,1,855.29
EU,47.02,76.92,134.76,0,630.53
NA,70.57,63.26,130.73,0,491.31
EU,179.42,128.67,64.59,0,984.36
EU,153.43,133.71,84.24,0,999.09
EU,24.46,132.35,107.17,1,844.44
NA,173.66,84.62,78.42,0,951.9
NA,262.64,79.67,66.53,1,1272.69
NA,226.92,35.61,144.15,1,984.82
EU,52.69,69.6,93.35,0,566.19
NA,272.37,64.75,121.02,0,1228.12
EU,188.26,44.04,142.11,0,703.82
NA,110.16,57.97,16.39,0,639.03
NA,217.15,82.51,79.3,0,1116.75
EU,111.21,20.7,87.05,0,407.48
EU,49.93,140.65,182.76,0,1016.18
EU,42.12,67.01,179.99,0,647.23
EU,78.82,84.71,204.79,0,800.35
NA,171.03,20.87,45.85,1,749.65
NA,183.34,45.04,136.86,1,887.68
NA,229.46,33.7,28.87,1,1000.48
EU,74.98,132.91,90.55,1,915.66
NA,195.01,26.99,88.66,1,861.86
NA,147.96,86.17,28.55,0,869.62
EU,47.89,42.78,150.41,0,490.49
NA,212.54,93.04,14.12,0,1131.7
EU,83.21,96.41,218.62,0,872.59
NA,220.48,81.64,110.0,1,1129.09
NA,284.08,45.48,103.15,0,1220.1
EU,54.02,127.75,107.34,0,844.3
EU,138.57,31.82,87.43,1,519.11
NA,217.96,12.55,70.64,0,848.58
EU,70.19,111.61,168.6,1,874.75
NA,239.28,50.54,26.19,0,1047.31
EU,82.85,100.25,122.59,0,784.9
NA,294.03,89.26,83.31,0,1396.62
NA,124.09,17.61,51.02,0,538.1
EU,37.07,68.99,82.48,0,513.28
NA,158.19,20.04,30.71,0,655.21
NA,290.87,30.07,114.2,0,1155.75
EU,199.77,103.26,61.5,0,895.44
EU,169.33,67.65,139.96,0,769.7
NA,243.6,44.5,68.66,0,1050.81
NA,209.98,33.99,23.51,0,919.2
EU,107.35,129.01,138.49,1,998.83
EU,107.2,102.68,240.39,0,975.98
NA,68.47,10.83,39.58,0,331.56
EU,96.77,83.77,109.63,0,709.24
NA,74.38,33.38,110.62,0,418.25
NA,178.94,44.43,117.55,0,830.61
EU,44.82,135.68,110.25,0,876.76
NA,298.48,17.78,136.3,0,1157.62
EU,157.78,38.77,69.37,0,551.94
NA,166.82,90.46,108.31,0,960.59
NA,252.86,17.33,21.25,0,994.76
NA,134.54,18.39,133.09,0,593.86
EU,47.91,72.88,127.21,0,602.53
NA,115.67,11.41,87.7,0,504.51
NA,101.96,99.98,84.06,0,740.03
NA,173.71,85.92,92.13,0,952.54
EU,94.28,114.52,108.53,0,841.96
NA,70.98,50.84,31.5,0,500.98
EU,40.79,74.56,140.86,0,629.78
EU,101.75,117.44,136.01,0,921.83
EU,89.4,61.5,133.85,0,624.99
NA,112.16,48.57,45.15,0,615.16
EU,110.34,85.08,151.45,0,786.44
NA,150.71,46.59,132.68,1,793.75
EU,76.58,53.53,58.17,0,464.01
EU,43.09,108.76,248.4,0,925.97
NA,225.02,67.99,16.18,0,1051.88
EU,165.3,148.82,71.88,1,1087.06
EU,116.45,94.12,74.5,0,751.65
NA,286.7,24.99,123.1,0,1116.23
NA,82.15,18.0,139.34,0,397.66
EU,177.4,42.73,172.76,0,712.6
NA,192.37,10.13,118.44,0,746.16
EU,39.89,89.46,194.72,0,759.15
NA,91.73,66.53,91.38,0,602.42
NA,129.7,93.48,104.89,1,861.51
NA,229.7,54.49,114.33,0,1011.4
EU,178.73,56.44,102.2,0,694.52
EU,120.19,141.61,206.32,1,1145.88
NA,236.11,52.09,103.02,0,1064.26
NA,97.06,63.35,61.64,0,609.29
NA,214.28,51.72,13.08,0,957.09
NA,277.09,51.39,22.33,0,1199.12
EU,38.79,129.7,93.4,0,825.83
EU,180.26,123.5,69.73,1,1008.1
NA,227.88,15.01,40.63,0,901.02
EU,70.15,59.43,144.48,0,612.78
NA,232.87,97.26,127.28,0,1195.03
EU,31.56,96.55,67.83,0,614.72
EU,185.89,121.94,148.58,0,1088.55
NA,215.8,93.39,42.09,1,1150.55
EU,174.78,56.22,221.18,0,820.06
NA,198.72,98.03,14.0,0,1075.14
EU,29.14,133.81,142.05,0,861.11
NA,272.01,35.95,119.21,0,1168.42
EU,196.38,107.75,177.75,0,1063.51
NA,273.85,56.6,53.78,0,1198.57
NA,279.78,69.72,50.3,0,1257.41
EU,93.03,116.47,99.74,0,878.03
EU,43.01,84.19,64.45,1,590.59
NA,83.69,78.15,117.31,0,615.15
EU,48.17,102.05,213.74,1,861.66
EU,93.19,103.01,60.63,0,757.64
EU,33.32,37.89,173.07,1,476.92
NA,272.1,35.58,59.8,0,1154.86
NA,52.3,80.63,139.07,1,545.11
NA,128.42,75.94,42.71,1,779.85
EU,50.79,94.67,237.26,1,860.13
EU,101.72,27.19,123.44,1,477.75
EU,171.6,89.71,88.54,1,852.06
EU,58.21,146.39,195.38,1,1082.5
EU,35.98,132.08,177.93,1,945.53
EU,56.19,54.81,138.09,0,544.81
NA,208.97,99.89,62.98,1,1143.64
NA,73.38,65.47,115.88,0,545.08
EU,116.96,69.27,109.93,0,662.07
EU,35.8,71.3,145.43,0,607.43
NA,70.91,31.21,102.06,0,385.13
NA,108.01,71.33,145.07,0,659.05
NA,256.77,86.51,81.13,0,1257.19
NA,276.18,47.76,106.13,0,1179.25
NA,284.44,76.99,20.29,0,1308.01
EU,36.51,118.68,239.64,0,943.71
NA,247.63,36.1,31.59,0,1033.73
EU,138.29,89.94,131.82,0,825.35
EU,130.16,115.94,66.3,0,871.25
NA,213.2,48.68,125.41,0,952.48
NA,139.06,73.84,21.84,0,772.9
EU,59.62,21.94,162.99,1,433.83
EU,144.0,121.84,249.98,0,1122.42
EU,98.77,127.67,176.07,0,1014.96
NA,127.49,95.6,138.75,0,822.98
EU,68.33,128.97,139.93,0,922.31
NA,269.92,81.41,78.55,0,1261.23
EU,80.45,108.58,158.5,1,862.31
NA,279.6,50.44,141.89,0,1213.92
EU,118.2,97.88,138.18,0,838.03
EU,93.31,40.07,134.32,1,537.5
EU,127.31,50.05,166.64,0,652.01
EU,97.11,89.31,214.05,0,865.5
EU,57.1,123.38,56.24,0,762.51
EU,36.46,130.21,108.11,1,857.89
NA,245.78,13.62,54.84,0,954.69
EU,184.99,87.25,129.2,1,897.07
EU,88.94,35.36,150.87,0,512.11
EU,169.65,58.55,149.5,1,738.17
NA,78.05,44.75,41.88,1,513.31
NA,90.07,57.84,61.77,0,570.24
NA,173.98,11.45,136.08,0,686.38
NA,126.23,30.59,133.42,0,612.94
EU,76.17,51.92,110.86,0,513.53
EU,81.58,118.42,205.65,0,971.73
EU,187.59,21.12,103.66,0,530.24
EU,112.81,144.8,164.24,0,1077.25
NA,68.65,73.25,133.25,0,532.99
NA,58.18,64.8,58.04,0,469.25
EU,34.62,69.65,208.66,0,666.53
NA,191.01,33.3,32.86,0,837.75
EU,71.37,147.08,75.93,0,929.42
EU,199.38,55.3,123.35,0,731.08
EU,69.81,140.44,208.5,1,1082.59
EU,62.22,97.01,206.02,1,864.48
NA,264.33,10.46,102.96,0,1014.3
NA,190.7,87.28,57.88,0,1004.21
NA,177.53,32.21,102.97,0,765.09
NA,168.4,87.59,137.74,0,957.52
EU,196.71,36.6,112.26,1,660.91
EU,128.06,111.79,89.81,0,852.04
EU,84.83,69.39,162.52,1,704.24
EU,30.39,41.71,199.99,0,510.27
NA,199.83,15.99,17.71,0,818.84
NA,242.88,36.87,41.09,1,1054.37
EU,27.93,100.01,133.02,0,696.16
NA,145.17,21.45,141.65,1,677.24
EU,159.01,128.36,108.69,0,1013.22
NA,83.39,75.1,24.5,0,610.46
NA,155.05,49.79,135.01,0,781.76
EU,146.79,111.09,92.0,0,896.55
EU,79.21,86.14,160.04,0,763.82
EU,142.93,67.31,231.97,0,847.77
NA,53.21,46.69,18.27,1,409.02
NA,75.42,30.53,133.3,0,448.47
EU,136.04,59.81,117.49,0,666.13
EU,55.86,30.09,170.61,1,487.28
NA,154.14,95.93,127.74,1,963.85
NA,179.02,14.99,107.05,0,707.4
EU,129.03,142.12,57.34,0,992.19
NA,158.55,29.09,74.25,0,697.01
NA,264.27,31.47,29.07,1,1101.8
NA,258.79,64.61,41.49,0,1172.56
EU,53.23,110.81,249.36,1,973.9
EU,38.38,90.05,99.66,0,630.4
EU,131.77,39.14,177.6,0,616.14
EU,95.38,37.85,189.92,0,594.18
NA,94.42,60.38,128.83,0,618.59
NA,56.0,43.52,45.72,0,403.4
EU,128.33,32.04,139.95,0,532.34
NA,94.48,58.31,51.92,0,573.24
EU,123.76,148.79,94.5,1,1069.47
EU,107.43,129.03,156.72,0,1010.62
EU,78.41,97.53,137.13,1,770.63
EU,133.26,50.11,142.37,0,643.11
NA,150.42,15.5,93.76,0,594.26
EU,88.41,28.83,169.05,0,496.71
NA,217.75,81.11,64.63,0,1106.12
EU,150.17,66.67,179.31,0,795.0
EU,184.45,49.82,55.54,0,619.62
EU,187.66,113.38,202.7,0,1096.29
EU,47.96,30.43,211.96,1,528.54
EU,29.57,40.39,130.89,0,438.74
NA,155.25,77.92,80.33,0,833.82
EU,29.13,146.26,77.91,0,862.24
NA,180.52,11.91,108.66,0,691.44
EU,127.9,48.49,156.08,0,637.76
NA,235.48,84.23,109.44,0,1187.4
NA,243.62,55.63,42.72,0,1077.24
EU,66.06,117.37,240.32,0,981.0
EU,172.07,135.81,56.37,0,1013.08
EU,80.65,29.13,181.12,0,504.17
NA,94.38,18.77,53.04,0,441.26
NA,73.22,65.6,17.84,1,575.94
EU,83.54,27.98,110.34,0,422.55
EU,69.99,51.03,50.91,0,440.88
EU,118.36,42.69,185.76,0,645.16
EU,140.52,137.59,166.91,0,1096.46
NA,107.92,35.58,80.48,1,559.61
NA,154.29,15.51,57.01,0,644.0
EU,107.41,54.43,198.18,1,706.58
EU,66.76,74.79,199.01,0,725.41
NA,212.08,27.32,72.83,0,864.16
NA,182.31,53.4,73.53,0,895.04
EU,21.87,102.03,133.48,0,704.62
NA,268.66,88.47,94.63,1,1335.39
EU,31.91,53.93,107.13,0,466.73
EU,131.16,149.59,191.91,0,1184.95
NA,238.75,41.79,147.21,0,1056.27
EU,99.21,60.75,127.8,1,635.41
EU,53.02,73.55,152.95,0,639.93
EU,168.92,59.66,159.24,1,788.37
NA,90.37,17.18,61.94,0,412.92
NA,193.75,96.49,111.2,0,1073.28
EU,99.85,78.23,158.92,0,728.37
NA,79.43,56.96,61.05,1,532.09
EU,143.27,46.18,113.66,1,625.51
NA,238.99,67.55,142.61,0,1097.37
NA,77.11,60.51,51.65,1,548.68
NA,173.23,68.48,126.34,0,917.49
NA,272.61,43.7,116.15,1,1194.25
NA,245.63,61.92,130.4,0,1123.93
NA,171.89,23.43,64.79,0,709.49
NA,142.39,64.4,101.32,0,757.96
NA,127.7,82.46,88.42,0,775.75
EU,156.19,44.27,248.55,0,780.36
EU,83.32,74.6,56.4,0,578.29
NA,53.25,22.25,22.33,1,316.68
EU,91.94,94.1,136.44,0,792.16
NA,100.36,45.14,30.47,0,562.51
NA,57.62,93.58,141.23,0,570.09
EU,64.83,41.38,133.39,0,487.78
EU,64.58,73.57,74.43,0,570.31
NA,197.85,60.7,109.68,0,958.18
EU,126.16,85.07,224.7,1,925.29
NA,272.96,11.29,100.06,0,1023.8
NA,108.32,93.43,124.76,0,741.86
EU,26.2,92.62,203.89,1,770.45
EU,169.12,62.6,192.7,0,819.0
EU,94.25,125.0,169.49,1,1005.72
NA,236.91,63.11,87.31,0,1119.46
EU,155.62,143.25,137.09,0,1118.97
EU,55.2,46.24,227.09,1,632.73
EU,152.9,138.21,77.38,1,1014.1
NA,235.28,72.51,106.04,0,1123.9
NA,156.89,87.76,56.11,1,914.14
NA,294.91,63.0,83.27,0,1318.22
EU,57.9,124.4,192.3,0,954.63
EU,115.88,27.02,209.23,0,579.34
NA,102.35,75.73,47.67,0,682.43
NA,200.53,37.67,14.3,0,878.82
EU,81.78,59.88,150.2,0,610.27
EU,153.25,46.94,176.15,0,693.45
NA,235.03,99.22,56.1,0,1220.91
EU,99.71,119.3,168.05,0,953.21
NA,189.61,77.9,85.63,0,1007.14
NA,142.2,47.51,42.62,0,700.42
EU,92.01,54.22,164.53,0,619.85
EU,73.61,86.87,248.95,0,866.42
NA,279.32,44.42,21.67,0,1202.23
EU,122.65,103.04,179.83,0,931.05
EU,82.22,149.12,77.03,0,956.77
NA,135.95,26.02,86.22,0,634.38
EU,199.01,43.4,114.75,0,681.6
EU,120.63,81.7,76.09,0,679.45
EU,73.88,84.04,167.42,0,741.01
EU,114.2,38.25,168.73,1,628.91
